Symbol,Shares,Trade Price,Trade Date,Shares Outstanding,Open Price,Close Price,Avg daily Volume,Side,Broker
A    ,425679,41.884489,12/2/2014,331173853.9,41.6,42.08,2014436,buy,Dilbert
AA   ,168484,17.250034,12/2/2014,1171341171,17.06,17.36,13499060,buy,Dilbert
AAC  ,15034,31.033741,12/2/2014,20108616.24,30.6,32.24,81265,buy,Dilbert
AACAY,99,56.45,12/2/2014,124261063,99,99,172899,buy,Dilbert
AAGIY,157582,22.662883,12/2/2014,2974289227,99,99,7335230,buy,Dilbert
AAL  ,666992,47.917533,12/2/2014,716758728.1,47.17,48.69,11851110,buy,Dilbert
AAMC ,203,489.235,12/2/2014,2212183.06,482.99,490.21,7614,buy,Dilbert
AAN  ,25315,27.943823,12/2/2014,73545222.82,27.75,28.827,508598,buy,Dilbert
AAOI ,47299,9.903037,12/2/2014,15370888.09,9.55,10.26,822485,buy,Dilbert
AAON ,172142,20.62154,12/2/2014,54265775.59,20.55,20.78,377999,buy,Dilbert
AAP  ,457504,148.098134,12/2/2014,71880857.57,145.48,148.7056,1022726,buy,Dilbert
AAPL ,2483977,114.736439,12/2/2014,5882136385,112.755,115.75,59205320,buy,Dilbert
AAT  ,2548,39.084198,12/2/2014,43142070.77,38.7,39.09,231129,buy,Dilbert
AAU  ,400,1.02,12/2/2014,70085614.83,1.01,1.04,265700,buy,Dilbert
AAUKY,74481,10.214869,12/2/2014,2803153862,99,99,16475371,buy,Dilbert
AAV  ,16700,4.440705,12/2/2014,170123856,4.37,4.61,1551249,buy,Dilbert
AAVL ,7400,39.132716,12/2/2014,21786291.18,38.73,39.93,134769,buy,Dilbert
AAWW ,3101,45.647941,12/2/2014,24176981.58,44.49,46.65,371573,buy,Dilbert
AAXJ ,416,62.23,12/2/2014,46139036.2,62.1999,62.24,2239417,buy,Dilbert
AB   ,17204,26.374167,12/2/2014,97365882.79,26.31,26.6,228161,buy,Dilbert
ABAX ,6463,56.719385,12/2/2014,22322700.18,56.13,57.16,119275,buy,Dilbert
ABB  ,20391,21.96578,12/2/2014,2326414631,21.91,21.99,12598712,buy,Dilbert
ABBV ,587331,69.115357,12/2/2014,1593039987,65.05,69.44,6490667,buy,Dilbert
ABC  ,183023,91.657853,12/2/2014,216744934.4,90.93,92.49,1769841,buy,Dilbert
ABCB ,1446,24.8119,12/2/2014,27852399.05,24.65,24.65,74906,buy,Dilbert
ABCO ,71314,41.290525,12/2/2014,36855647.32,40.56,42.32,597419,buy,Dilbert
ABDNY,6111,14.485792,12/2/2014,651600931.3,99,99,4875912,buy,Dilbert
ABEV ,1370252,6.148022,12/2/2014,15913818715,6.07,6.29,33775191,buy,Dilbert
ABG  ,4462,75.745926,12/2/2014,29377766.1,74.75,76.03,368210,buy,Dilbert
ABM  ,16296,27.25849,12/2/2014,55157219.04,27.09,27.3,125269,buy,Dilbert
ABMD ,7716,35.310897,12/2/2014,40535229.89,35,35.37,323569,buy,Dilbert
ABR  ,22914,6.9231,12/2/2014,50454397.45,6.93,6.93,74548,buy,Dilbert
ABT  ,507284,45.201099,12/2/2014,1476471044,44.28,45.535,10943950,buy,Dilbert
ABTL ,100,10.94,12/2/2014,8690618.83,10.88,10.88,98453,buy,Dilbert
ABX  ,201768,12.012454,12/2/2014,1203638956,11.885,12.31,19902773,buy,Dilbert
ABY  ,11909,27.2949,12/2/2014,82877900.73,27,28.6338,1286033,buy,Dilbert
ACAD ,180234,29.9511,12/2/2014,95717123.31,29.18,30.4,1529580,buy,Dilbert
ACAS ,7541,14.979028,12/2/2014,268247101.4,14.945,15.01,947994,buy,Dilbert
ACAT ,16132,32.502439,12/2/2014,12854959.42,32.21,32.876,90899,buy,Dilbert
ACC  ,635909,39.646812,12/2/2014,105524762.9,39.34,39.75,697106,buy,Dilbert
ACCO ,43866,8.833834,12/2/2014,110035741.4,8.71,8.97,1320077,buy,Dilbert
ACE  ,219546,114.811825,12/2/2014,331895200.4,114.501,115.09,1403353,buy,Dilbert
ACET ,4663,21.363486,12/2/2014,28588096.28,20.005,21.5,105617,buy,Dilbert
ACG  ,2184,7.59652,12/2/2014,243663520.9,7.56,7.6199,1012206,buy,Dilbert
ACGBY,435,11.755,12/2/2014,1213847419,99,99,9042787,buy,Dilbert
ACGL ,80986,57.233399,12/2/2014,128607420,57.03,58,556052,buy,Dilbert
ACH  ,602,10.63,12/2/2014,156439385.7,10.61,10.64,964260,buy,Dilbert
ACHC ,12696,62.619567,12/2/2014,59155936.26,61.7,63.22,237712,buy,Dilbert
ACHN ,37378,13.062735,12/2/2014,94631497.68,12.33,13.41,5252362,buy,Dilbert
ACI  ,26188,2.026486,12/2/2014,213722007.5,2,2.12,8921080,buy,Dilbert
ACIW ,4251,19.456465,12/2/2014,114485241.3,19.38,19.48,397075,buy,Dilbert
ACLS ,200,2.21,12/2/2014,109977760.2,2.21,2.21,354609,buy,Dilbert
ACM  ,31035,30.146041,12/2/2014,151353941,29.5301,30.78,1970693,buy,Dilbert
ACMP ,13007,61.100755,12/2/2014,187860067.9,60.96,61.62,1080765,buy,Dilbert
ACN  ,413849,85.671753,12/2/2014,629944187.5,85.26,86.69,2504291,buy,Dilbert
ACOR ,32125,36.183904,12/2/2014,41132956.36,35.84,36.55,376390,buy,Dilbert
ACRE ,333,11.93475,12/2/2014,28354072.8,11.9001,11.94,47475,buy,Dilbert
ACRFY,201494,9.23118,12/2/2014,1172066021,99,99,6316678,buy,Dilbert
ACRX ,200,6.675,12/2/2014,42168843.21,6.65,6.7,260314,buy,Dilbert
ACST ,1000,0.4084,12/2/2014,76364348.68,0.401,0.401,64605,buy,Dilbert
ACT  ,290591,263.325211,12/2/2014,266042139.6,260.44,264.86,2367911,buy,Dilbert
ACTG ,86534,18.836262,12/2/2014,49173229.07,18.55,19.07,420856,buy,Dilbert
ACTS ,10440,1.73,12/2/2014,99,1.7499,1.7499,40830,buy,Dilbert
ACW  ,68390,4.40282,12/2/2014,46822723.62,4.37,4.44,232318,buy,Dilbert
ACWI ,54712,60.23397,12/2/2014,114848274.9,60.06,60.295,2527158,buy,Dilbert
ACXM ,46546,19.605651,12/2/2014,74251621.07,18.961,20.1,799512,buy,Dilbert
ADBE ,104055,73.430491,12/2/2014,500907957.8,73.11,74,1841760,buy,Dilbert
ADC  ,900,30.981429,12/2/2014,14775961.74,30.7,30.85,22446,buy,Dilbert
ADDYY,1515,39.033636,12/2/2014,426224388.7,99,99,5569532,buy,Dilbert
ADES ,2928,20.56,12/2/2014,20906095.87,19.94,20.7,84826,buy,Dilbert
ADHD ,11800,3.3998,12/2/2014,14239470.26,3.4,3.4,139168,buy,Dilbert
ADI  ,211004,54.830797,12/2/2014,313181604.4,54.25,55.32,2182156,buy,Dilbert
ADM  ,237579,53.320866,12/2/2014,633404365.2,52.22,53.56,4833354,buy,Dilbert
ADMS ,9592,14.4752,12/2/2014,17025197.58,14.46,14.46,55296,buy,Dilbert
ADNC ,272474,3.480234,12/2/2014,24354389.6,3.3,3.75,195419,buy,Dilbert
ADP  ,116388,85.830187,12/2/2014,483391671.2,85.49,86.0894,1676123,buy,Dilbert
ADPT ,4495,32.186061,12/2/2014,9424354.867,31.96,32.42,99280,buy,Dilbert
ADS  ,72833,280.757051,12/2/2014,59593481.47,279.08,283.411,434058,buy,Dilbert
ADSK ,385177,60.779364,12/2/2014,226276982.5,60.27,61.72,1793984,buy,Dilbert
ADT  ,283416,34.539202,12/2/2014,171803494.3,34.15,34.7,1809857,buy,Dilbert
ADTN ,12121,20.99598,12/2/2014,53968376.6,20.89,21.06,660105,buy,Dilbert
ADUS ,5138,23.3831,12/2/2014,10819343.89,23.04,23.04,57871,buy,Dilbert
ADVS ,2860,31.434667,12/2/2014,51000745.66,30.88,31.5,398184,buy,Dilbert
ADX  ,100,13.750033,12/2/2014,92624690.29,13.75,13.7501,83116,buy,Dilbert
AE   ,79,43.87,12/2/2014,4089162.07,43.11,43.11,5571,buy,Dilbert
AEC  ,26140,22.529179,12/2/2014,57191249.1,22.33,22.8,639618,buy,Dilbert
AEE  ,112538,43.253357,12/2/2014,242341593,42.61,43.75,1264375,buy,Dilbert
AEG  ,15421,7.812441,12/2/2014,2125367856,7.77,7.84,10233634,buy,Dilbert
AEGN ,767321,18.362389,12/2/2014,37596556.3,18.29,18.55,644479,buy,Dilbert
AEGR ,50378,21.704238,12/2/2014,27382989.28,21.33,21.84,732839,buy,Dilbert
AEH  ,26,25.44,12/2/2014,40157232.7,25.44,25.44,31181,buy,Dilbert
AEIS ,12015,20.992104,12/2/2014,38219227.94,20.14,21.6,704841,buy,Dilbert
AEK  ,11,28.4,12/2/2014,19964788.73,28.4,28.4,37376,buy,Dilbert
AEL  ,24027,26.875112,12/2/2014,75218763.51,26.81,27.17,362056,buy,Dilbert
AEM  ,37665,24.390073,12/2/2014,216307111.3,24.11,25.14,5760793,buy,Dilbert
AEO  ,82590,13.894036,12/2/2014,192394478.5,13.66,14.03,4104017,buy,Dilbert
AEP  ,465261,58.273585,12/2/2014,486903668.2,57.1501,58.53,2237689,buy,Dilbert
AEPI ,700,45.804286,12/2/2014,5040825.774,45.35,46.35,45098,buy,Dilbert
AER  ,1215718,42.456754,12/2/2014,217052401.4,41.7,43.24,4799006,buy,Dilbert
AERI ,965,28.452727,12/2/2014,21911061.03,27.46,28.45,522088,buy,Dilbert
AES  ,421298,13.726215,12/2/2014,709129315.8,13.42,13.88,6607751,buy,Dilbert
AET  ,1195029,88.148382,12/2/2014,349265631.3,87,88.41,2955882,buy,Dilbert
AEZS ,14588,0.742809,12/2/2014,56536790.1,0.6878,0.7736,5238696,buy,Dilbert
AF   ,197956,13.261667,12/2/2014,98576810.57,13.25,13.29,452226,buy,Dilbert
AFAM ,12749,28.593349,12/2/2014,9270823.832,28.03,28.84,36594,buy,Dilbert
AFFX ,10293,9.216815,12/2/2014,72253698.48,9.1,9.26,802385,buy,Dilbert
AFG  ,8556,60.632789,12/2/2014,87244193.3,60.17,61.12,296814,buy,Dilbert
AFH  ,1710,15.02,12/2/2014,11406529.96,14.81,15.02,39328,buy,Dilbert
AFL  ,66624,59.490494,12/2/2014,448949790.1,59.19,59.67,1608227,buy,Dilbert
AFMD ,3600,7.5,12/2/2014,24111914.67,7.5,7.5,74515,buy,Dilbert
AFOP ,162,12.78,12/2/2014,17982005.11,12.7,12.83,202064,buy,Dilbert
AFSI ,14268,51.367852,12/2/2014,75270872.22,51.3,52.14,890898,buy,Dilbert
AG   ,158053,4.114377,12/2/2014,123115673.8,4.02,4.34,3039789,buy,Dilbert
AGC  ,12,6.495,12/2/2014,32414911.92,6.48,6.51,94238,buy,Dilbert
AGCO ,40093,43.517929,12/2/2014,91116568.29,43.07,43.82,2071499,buy,Dilbert
AGEN ,100,2.99,12/2/2014,62055063.21,2.99,2.99,285387,buy,Dilbert
AGESY,20473,35.698441,12/2/2014,232134085.1,99,99,642719,buy,Dilbert
AGG  ,9833,109.866689,12/2/2014,196681131.9,109.82,109.9,1469400,buy,Dilbert
AGI  ,23241,7.306995,12/2/2014,128812041.6,7.16,7.42,1848727,buy,Dilbert
AGII ,80,57.309032,12/2/2014,25228371.42,57.19,57.31,74353,buy,Dilbert
AGIO ,35636,95.700808,12/2/2014,34893908.44,92,97.625,1041956,buy,Dilbert
AGLNY,34482,11.294636,12/2/2014,655453414.8,99,99,1841305,buy,Dilbert
AGM  ,19182,29.352363,12/2/2014,9410670.782,29.3,29.47,37089,buy,Dilbert
AGN  ,386668,210.978507,12/2/2014,297486428.6,210.33,211.8,2675110,buy,Dilbert
AGNC ,125356,23.039226,12/2/2014,350966686,22.84,23.1661,3203600,buy,Dilbert
AGO  ,3532,25.127091,12/2/2014,162025506.6,25.01,25.3,1171685,buy,Dilbert
AGPPY,1688,5.162,12/2/2014,1710383238,99,99,2001520,buy,Dilbert
AGTC ,8789,19.955,12/2/2014,16458090.96,19.8,20.93,74085,buy,Dilbert
AGU  ,20525,96.398599,12/2/2014,143331159.2,95.78,96.98,1143923,buy,Dilbert
AGX  ,1546,31.5375,12/2/2014,14153182.86,30.82,31.71,64165,buy,Dilbert
AHC  ,2999,12.014017,12/2/2014,18893523.37,11.78,12.29,272088,buy,Dilbert
AHCHY,1134,16.65875,12/2/2014,259527822.4,99,99,1432564,buy,Dilbert
AHEXY,651,34.6472,12/2/2014,362216604.6,99,99,1932037,buy,Dilbert
AHGP ,5094,65.265971,12/2/2014,59499904.87,65.01,65.44,54341,buy,Dilbert
AHH  ,37604,9.446032,12/2/2014,24882034.88,9.38,9.5,156531,buy,Dilbert
AHKSY,652,17.609,12/2/2014,699210351.2,99,99,1512178,buy,Dilbert
AHL  ,2754,43.716615,12/2/2014,61668892,43.39,44.07,305259,buy,Dilbert
AHONY,17475,17.757215,12/2/2014,891684285.1,99,99,6324751,buy,Dilbert
AHP  ,2400,17.2942,12/2/2014,25767575.26,17.27,17.42,58022,buy,Dilbert
AHS  ,31981,16.964937,12/2/2014,46316109.23,16.85,16.91,123472,buy,Dilbert
AHT  ,85446,10.128934,12/2/2014,91137016.51,10.03,10.32,1045399,buy,Dilbert
AI   ,6918,27.880998,12/2/2014,22322547.42,27.64,28.09,218232,buy,Dilbert
AIF  ,26,16.9045,12/2/2014,14494374.87,16.9045,16.9045,36483,buy,Dilbert
AIG  ,1024958,54.899577,12/2/2014,1387986088,53.865,55.05,6009248,buy,Dilbert
AIMC ,4205,30.734818,12/2/2014,26276292.43,30.26,30.83,197133,buy,Dilbert
AIN  ,6220,36.996293,12/2/2014,28433401.41,36.72,37.03,84100,buy,Dilbert
AINC ,8323,111.151324,12/2/2014,2034720.879,109.49,113.14,32468,buy,Dilbert
AINV ,7400,8.045078,12/2/2014,236300352.2,8,8.0999,3310692,buy,Dilbert
AIQ  ,500,21.941875,12/2/2014,10455626.32,21.4,22.095,16348,buy,Dilbert
AIQUY,53532,25.018205,12/2/2014,1745735717,99,99,5414316,buy,Dilbert
AIR  ,18274,25.863639,12/2/2014,39442574.29,25.53,26.25,123450,buy,Dilbert
AIRM ,3400,44.001787,12/2/2014,38857054.8,43.62,44.49,202770,buy,Dilbert
AIT  ,3020,46.273529,12/2/2014,41046002.11,46.12,46.395,161116,buy,Dilbert
AIV  ,84373,37.111766,12/2/2014,146080495.9,36.93,37.37,1077028,buy,Dilbert
AIZ  ,79550,67.694557,12/2/2014,69897569.42,67.43,67.94,513653,buy,Dilbert
AJG  ,49293,47.915328,12/2/2014,160413548.8,47.63,48.04,490488,buy,Dilbert
AJINY,14660,18.805364,12/2/2014,596536748.6,99,99,1734442,buy,Dilbert
AKAM ,22778,63.317813,12/2/2014,177315299.4,63.11,63.54,1061594,buy,Dilbert
AKBA ,10876,11.584427,12/2/2014,20285256.22,11.355,11.95,143268,buy,Dilbert
AKBTY,4745,7.669091,12/2/2014,2113731883,99,99,11427738,buy,Dilbert
AKG  ,100,1.73,12/2/2014,181079514.5,1.74,1.74,626710,buy,Dilbert
AKO.B,800,18.59,12/2/2014,78537108.93,18.59,18.59,105444,buy,Dilbert
AKR  ,20154,31.720812,12/2/2014,64115625.61,31.54,31.98,524640,buy,Dilbert
AKRX ,10634,38.807411,12/2/2014,106538075.1,38.33,39.72,910669,buy,Dilbert
AKS  ,35377,5.546525,12/2/2014,171828538.3,5.38,5.66,11153640,buy,Dilbert
AKZOY,39399,23.361444,12/2/2014,720153624.2,99,99,5224860,buy,Dilbert
AL   ,32607,36.994115,12/2/2014,102929781.6,36.81,37.33,621092,buy,Dilbert
ALB  ,20365,58.626167,12/2/2014,77867712.85,58,59.16,1007732,buy,Dilbert
ALDW ,1650,16.869103,12/2/2014,63770751.14,16.83,17.17,175930,buy,Dilbert
ALE  ,3096,51.755,12/2/2014,43798272.42,51.7,51.82,121481,buy,Dilbert
ALEX ,1289,38.032,12/2/2014,47959287.1,37.62,38.06,119845,buy,Dilbert
ALG  ,1757,48.605789,12/2/2014,11229342.22,48.41,49.41,51087,buy,Dilbert
ALGGY,75,27.85,12/2/2014,205686660,99,99,117456,buy,Dilbert
ALGN ,44359,56.867459,12/2/2014,78854407.98,56,57.12,504993,buy,Dilbert
ALGT ,14746,140.210044,12/2/2014,17269040.64,135,142.43,193947,buy,Dilbert
ALIM ,21518,5.580383,12/2/2014,44468854,5.43,5.74,242084,buy,Dilbert
ALJ  ,278289,14.310001,12/2/2014,67557171.02,13.825,14.91,1046341,buy,Dilbert
ALK  ,220033,55.152451,12/2/2014,133288454.5,54.77,58.47,2044027,buy,Dilbert
ALKS ,96644,55.723074,12/2/2014,144206602,54.82,56.14,784566,buy,Dilbert
ALL  ,88517,67.988749,12/2/2014,417118586.6,67.63,68.19,1902941,buy,Dilbert
ALL.P,33,26.47,12/2/2014,29933887.42,26.48,26.48,86891,buy,Dilbert
ALLE ,13673,54.210319,12/2/2014,94829662.16,53.75,54.56,315975,buy,Dilbert
ALLY ,284958,22.937324,12/2/2014,485323997.3,22.85,23.29,2097165,buy,Dilbert
ALNPY,14000,5.1465,12/2/2014,1754583671,99,99,12644000,buy,Dilbert
ALNY ,72421,101.020121,12/2/2014,75381119.33,95.2699,102.9227,490270,buy,Dilbert
ALOG ,1390,72.39,12/2/2014,12391801.35,72.39,72.44,40529,buy,Dilbert
ALPMY,2280,14.427767,12/2/2014,2268592878,99,99,6549695,buy,Dilbert
ALR  ,14677,39.396165,12/2/2014,83267887.82,39.23,39.6,397312,buy,Dilbert
ALSK ,25216,1.232774,12/2/2014,49392988.64,1.22,1.25,229893,buy,Dilbert
ALSMY,9,3.405,12/2/2014,3156523731,99,99,20449299,buy,Dilbert
ALSN ,143670,32.571046,12/2/2014,179143462.8,32.3464,32.74,2403791,buy,Dilbert
ALTR ,1147835,37.093537,12/2/2014,304469288,36.85,37.42,2131483,buy,Dilbert
ALU  ,25216,3.455958,12/2/2014,2874953074,3.44,3.47,40097586,buy,Dilbert
ALV  ,29425,99.621823,12/2/2014,89728396.82,98.41,99.82,395405,buy,Dilbert
ALX  ,100,410,12/2/2014,4949955.659,407,407,2816,buy,Dilbert
ALXA ,1300,1.37,12/2/2014,19121715.33,1.37,1.37,148618,buy,Dilbert
ALXN ,287592,198.853417,12/2/2014,192000681.4,193.07,201.77,1829388,buy,Dilbert
AM   ,7400,27.925388,12/2/2014,76359534.25,26.69,28.24,189179,buy,Dilbert
AMADY,48033,39.683943,12/2/2014,451681724.2,99,99,2462209,buy,Dilbert
AMAG ,1909,38.875,12/2/2014,24632053.85,37.99,39,856746,buy,Dilbert
AMAT ,640035,23.799385,12/2/2014,1215395601,23.6801,23.96,10581390,buy,Dilbert
AMBA ,44194,52.80052,12/2/2014,28510228.84,51.6,53.55,1850350,buy,Dilbert
AMBC ,4548,24.429844,12/2/2014,44617656.74,24.1,24.56,383246,buy,Dilbert
AMBR ,11839,11.813582,12/2/2014,25203177.48,11.7,11.71,134254,buy,Dilbert
AMC  ,20452,26.332611,12/2/2014,21639549.07,26.03,26.58,166346,buy,Dilbert
AMCC ,13495,5.94,12/2/2014,75287432.91,5.86,5.96,1005691,buy,Dilbert
AMCN ,18259,2.8543,12/2/2014,99,2.84,2.99,581852,buy,Dilbert
AMCRY,7869,42.5203,12/2/2014,297853161.3,99,99,1358268,buy,Dilbert
AMCX ,39752,64.172341,12/2/2014,60453940.58,63.77,64.625,481504,buy,Dilbert
AMD  ,88300,2.675997,12/2/2014,773617372.8,2.65,2.7,12437740,buy,Dilbert
AME  ,92609,50.974136,12/2/2014,244370334.5,50.71,51.25,741360,buy,Dilbert
AMED ,8628,26.014188,12/2/2014,32862038.26,25.89,26.12,307348,buy,Dilbert
AMFW ,3200320,14.518034,12/2/2014,381104227.9,14.255,14.6,6443267,buy,Dilbert
AMG  ,287490,202.259248,12/2/2014,55485647.41,200.36,202.79,572330,buy,Dilbert
AMGN ,196151,168.248489,12/2/2014,752193397.1,162.75,169.31,3289845,buy,Dilbert
AMH  ,39709,17.324779,12/2/2014,210903483.4,17.31,17.39,1766376,buy,Dilbert
AMIGY,7380,19.62258,12/2/2014,273979738.2,99,99,1798669,buy,Dilbert
AMJ  ,3700,47.839324,12/2/2014,123092054.5,47.17,48.03,4551593,buy,Dilbert
AMKR ,131635,6.436906,12/2/2014,240720976.5,6.34,6.46,1760663,buy,Dilbert
AMLP ,2300,17.831429,12/2/2014,508667213.5,17.615,17.94,6283176,buy,Dilbert
AMOT ,8700,21.573662,12/2/2014,9309129.36,21.36,21.85,102904,buy,Dilbert
AMOV ,2292,22.32,12/2/2014,33804035.08,22.67,22.67,959,buy,Dilbert
AMP  ,146024,132.348764,12/2/2014,182211348.6,129.87,132.88,748880,buy,Dilbert
AMPE ,700,3.252143,12/2/2014,52257507.96,3.25,3.26,354510,buy,Dilbert
AMPH ,5040,11.220625,12/2/2014,43312130.05,10.82,11.6,330621,buy,Dilbert
AMRC ,2653,7.48643,12/2/2014,28060570.93,7.49,7.49,91418,buy,Dilbert
AMRE ,23100,26.57836,12/2/2014,19641794.64,26.53,26.6,239848,buy,Dilbert
AMRI ,216925,15.791144,12/2/2014,31923725.66,15.46,15.85,343475,buy,Dilbert
AMRN ,24814,1.15615,12/2/2014,99,1.13,1.19,1122801,buy,Dilbert
AMRS ,142,2.505,12/2/2014,74499043.31,2.5,2.5,220834,buy,Dilbert
AMSC ,17200,0.909248,12/2/2014,96908920.89,0.8901,0.93,209040,buy,Dilbert
AMSF ,15337,42.70765,12/2/2014,18446643.65,42.0901,43.33,139998,buy,Dilbert
AMSG ,25207,50.769618,12/2/2014,47983408.23,50.53,50.84,486097,buy,Dilbert
AMT  ,676800,101.478642,12/2/2014,404330434.9,100.44,104.12,3843047,buy,Dilbert
AMTD ,85053,34.421144,12/2/2014,536226600,34.12,34.57,1797823,buy,Dilbert
AMTG ,9707,16.422145,12/2/2014,32000536.31,16.38,16.4699,139170,buy,Dilbert
AMTX ,8893,4.522643,12/2/2014,21060532.35,4.3,4.6,134114,buy,Dilbert
AMWD ,16128,39.549636,12/2/2014,15915683.05,39.25,40.339,99557,buy,Dilbert
AMX  ,346154,22.797242,12/2/2014,2269570925,22.655,23.08,5615665,buy,Dilbert
AMZG ,54919,0.798126,12/2/2014,29364276.17,0.7802,0.88,443649,buy,Dilbert
AMZN ,79306,325.292829,12/2/2014,464044928.4,323.26,327.8999,2784995,buy,Dilbert
AN   ,122531,59.195255,12/2/2014,112159887.6,57.53,59.6,823356,buy,Dilbert
ANAC ,65872,34.722434,12/2/2014,41241462.82,33.55,35.24,569946,buy,Dilbert
ANAT ,25,111.93,12/2/2014,26269402.66,111.93,111.93,9042,buy,Dilbert
ANDE ,27683,54.45169,12/2/2014,28554299.51,53.78,54.81,265846,buy,Dilbert
ANET ,31276,69.384567,12/2/2014,66480523.08,67.62,71.97,1054685,buy,Dilbert
ANF  ,415351,27.986983,12/2/2014,71787051.02,27.61,28.87,3076335,buy,Dilbert
ANFGY,23808,23.366529,12/2/2014,99,99,99,12294,buy,Dilbert
ANFI ,44781,13.497647,12/2/2014,37016915.48,13.33,13.87,225161,buy,Dilbert
ANGI ,39544,5.810034,12/2/2014,58617614.31,5.785,5.84,530258,buy,Dilbert
ANGO ,11398,17.326735,12/2/2014,35906172.78,17.31,17.49,136439,buy,Dilbert
ANH  ,70895,5.438371,12/2/2014,112679288.7,5.42,5.44,563572,buy,Dilbert
ANIK ,1806,40.698824,12/2/2014,14152299.32,40.16,40.69,136351,buy,Dilbert
ANIP ,4370,57.18375,12/2/2014,10606739.5,53.29,58.65,378322,buy,Dilbert
ANN  ,6911,35.636754,12/2/2014,45515223.31,35.2101,35.86,546524,buy,Dilbert
ANR  ,7994,1.889764,12/2/2014,225155227.8,1.86,1.95,7883690,buy,Dilbert
ANSS ,12099,83.195588,12/2/2014,91758288.01,83.1,83.52,290861,buy,Dilbert
ANTH ,75761,1.988795,12/2/2014,21054858.27,1.85,2.05,100126,buy,Dilbert
ANTM ,2500,129.16,12/2/2014,269000511.8,128.8275,128.8275,1123621,buy,Dilbert
ANV  ,12531,1.645714,12/2/2014,109802925.3,1.62,1.79,3521459,buy,Dilbert
ANW  ,14012,9.656682,12/2/2014,47630929.29,9.43,9.84,174071,buy,Dilbert
ANY  ,15938,7.639848,12/2/2014,25336097.66,7.51,7.75,49090,buy,Dilbert
ANZBY,29440,26.872533,12/2/2014,99,99,99,54152,buy,Dilbert
AOD  ,2007,8.7875,12/2/2014,107660236.7,8.78,8.79,241759,buy,Dilbert
AOI  ,31581,1.831415,12/2/2014,84481889.46,1.78,1.83,137302,buy,Dilbert
AOL  ,179611,46.027506,12/2/2014,78079058.24,45.4101,46.22,506728,buy,Dilbert
AON  ,129933,92.490887,12/2/2014,284922732.9,92.19,92.71,910560,buy,Dilbert
AONNY,45532,10.212093,12/2/2014,840694028.9,99,99,5209196,buy,Dilbert
AOS  ,85427,53.702564,12/2/2014,76492894.91,53.51,54.02,661891,buy,Dilbert
AOSL ,5064,8.574348,12/2/2014,26068971.8,8.48,8.68,29108,buy,Dilbert
AP   ,400,18.34,12/2/2014,10391890.95,18.31,18.31,10120,buy,Dilbert
APA  ,3102461,63.362772,12/2/2014,379186312.3,62.08,67.63,7966423,buy,Dilbert
APAGF,3822,13.8045,12/2/2014,9050974.308,13.76,13.81,144176,buy,Dilbert
APAM ,12907,50.536941,12/2/2014,33752068.67,49.89,50.79,134687,buy,Dilbert
APC  ,862018,79.306985,12/2/2014,503562432.6,76.9,89.09,7577312,buy,Dilbert
APD  ,142410,143.842573,12/2/2014,214078929.2,143.34,144.36,992195,buy,Dilbert
APEI ,325334,33.924765,12/2/2014,16911478.86,33.11,35.64,335768,buy,Dilbert
APH  ,216732,53.077399,12/2/2014,308671005.9,52.94,53.19,924925,buy,Dilbert
APL  ,6681,29.619071,12/2/2014,78485833.35,28.525,29.68,2616122,buy,Dilbert
APL.P,10000,25.3118,12/2/2014,5039649.492,25.28,25.2999,27630,buy,Dilbert
APO  ,1000,23.623,12/2/2014,162885635.2,23.55,23.71,2048665,buy,Dilbert
APOG ,135323,45.019579,12/2/2014,28639815.45,44.42,45,272972,buy,Dilbert
APOL ,218690,32.091802,12/2/2014,107405605.6,31.86,32.175,1640364,buy,Dilbert
APSA ,240,22.15,12/2/2014,400172703.3,22.15,22.15,174,buy,Dilbert
APT  ,900,2.862222,12/2/2014,17012023.77,2.8,2.9999,1985773,buy,Dilbert
APTO ,1100,7.169,12/2/2014,11710526.39,7.04,7.189,28478,buy,Dilbert
APU  ,50002,46.462933,12/2/2014,91962719.07,45.265,46.916,1064003,buy,Dilbert
AR   ,341458,45.871633,12/2/2014,266990900.6,44.73,47.58,1067637,buy,Dilbert
ARAY ,21900,6.628732,12/2/2014,78103491.87,6.54,6.68,614138,buy,Dilbert
ARC  ,100,9.19,12/2/2014,45351260.07,9.17,9.17,192838,buy,Dilbert
ARCB ,6681,43.253029,12/2/2014,25370791.98,42.36,43.95,290694,buy,Dilbert
ARCC ,176848,16.099512,12/2/2014,314703943.4,16.055,16.1699,1535960,buy,Dilbert
ARCO ,1100,6.191111,12/2/2014,131668940.2,6.13,6.23,405172,buy,Dilbert
ARCP ,1813107,9.272095,12/2/2014,907901770.2,9.21,9.45,10598190,buy,Dilbert
ARCW ,8132,11.5816,12/2/2014,17056190.32,10.93,12.84,49008,buy,Dilbert
ARDC ,26,16.4877,12/2/2014,17157983.22,16.4846,16.4846,46289,buy,Dilbert
ARDM ,452,7.5571,12/2/2014,14537775.07,7.5,7.5,11550,buy,Dilbert
ARDX ,15900,28.977018,12/2/2014,17793688.04,28.8099,29.36,43289,buy,Dilbert
ARE  ,61958,86.433097,12/2/2014,71522736.34,85.54,86.76,277538,buy,Dilbert
ARES ,500,16.161111,12/2/2014,81161654.15,16.15,16.18,32092,buy,Dilbert
